codigo;ex;tipo;descricao;nacionalfederal;importadosfederal;estadual;municipal;vigenciainicio;vigenciafim;chave;versao;fonte
00000000;;0;"PRODUTO NAO ESPECIFICADO NA LISTA DE NCM";7.85;9.85;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
00000000;0 ;0;"PRODUTO NAO ESPECIFICADO NA LISTA DE NCM";4.20;6.20;0.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01012100;;0;"Cavalos reprodutores,de raca pura";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01012900;;0;"Cavalos vivos,exceto reprodutores de raca pura";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01013000;;0;"Asininos";13.45;17.16;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01019000;;0;"Outros asininos e muares,vivos";13.45;17.16;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01022110;;0;"Bovinos reprodutores,de raca pura,prenhe ou com cria ao pe";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01022190;;0;"Outros bovinos reprodutores,de raca pura";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01022911;;0;"Outros bovinos para reproducao, prenhe ou com cria ao pe";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01022919;;0;"Outros bovinos domesticos para reproducao";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01022990;;0;"Outros bovinos domesticos";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01023110;;0;"Bufalos reprodutores,de raca pura, prenhe ou com cria ao pe";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01023190;;0;"Outros bufalos reprodutores,de raca pura";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01023911;;0;"Outros bufalos para reproducao, prenhe ou com cria ao pe";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01023919;;0;"Outros bufalos para reproducao";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01023990;;0;"Outros bufalos";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01029000;;0;"Outros animais vivos da especie bovina";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01031000;;0;"Suinos reprodutores de raca pura";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01039100;;0;"Outros suinos,vivos,de peso inferior a 50kg";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01039200;;0;"Outros suinos,vivos,de peso igual ou superior a 50kg";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01041011;;0;"Ovinos reprodutores,de raca pura,prenhe ou c/cria ao pe";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01041019;;0;"Outros ovinos,reprodutores,de raca pura";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01041090;;0;"Outros ovinos,vivos";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01042010;;0;"Caprinos reprodutores,de raca pura";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01042090;;0;"Outros caprinos,vivos";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01051110;;0;"Galos e galinhas,p<=185g,de linha pura/hibrida, p/reprod";13.45;15.45;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01051190;;0;"Outros galos e galinhas,vivos,de peso n/superior a 185g";13.45;15.45;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01051200;;0;"Peruas e perus,vivos,de peso nao superior a 185g";13.45;15.45;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01051300;;0;"Patos vivos,de peso<=185g";13.45;15.45;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01051400;;0;"Gansos, vivos,de peso<=185g";13.45;15.45;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01051500;;0;"Galinhas dangola (pintadas),vivos,de peso<=185g";13.45;15.45;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01059400;;0;"Outros galos e galinhas,vivos de peso>185g";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01059900;;0;"Patos,gansos,perus,peruas,pintadas,vivos,de peso>185g";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01061100;;0;"Primatas";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01061200;;0;"Baleias, golfinhos e botos, peixes-boi e digongos, otarias e focas, leoes-marinhos e morsas";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01061300;;0;"Camelos e outros camelideos";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01061400;;0;"Coelhos e lebres";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01061900;;0;"Outros animais mamiferos";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01062000;;0;"Repteis incluidas as serpentes e as tartarugas marinhas";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01063100;;0;"Aves de rapina";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01063200;;0;"Psitaciformes (incluidos os papagaios, os periquitos, as araras e as cacatuas)";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01063310;;0;"Avestruzes para reproducao";13.45;15.45;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01063390;;0;"Outros avestruzes, emus";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01063900;;0;"Outras aves";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01064100;;0;"Abelhas";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01064900;;0;"Outro insetos";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
01069000;;0;"Outros animais vivos";13.45;17.16;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02011000;;0;"Carcacas e meias carcacas,de bovino,frescas ou refriger";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02012010;;0;"Quartos dianteiros,de bovino,n/desossad. frescos/refrig.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02012020;;0;"Quartos traseiros,de bovino,n/desossados, frescos/refrig";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02012090;;0;"Outs.carnes de bovino,nao desossadas, frescas ou refrig.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02013000;;0;"Carnes de bovino,desossadas,frescas ou refrigeradas";13.45;20.25;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02021000;;0;"Carcacas e meias-carcacas,de bovino, congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02022010;;0;"Quartos dianteiros,de bovino,nao desossados, congelados";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02022020;;0;"Quartos traseiros,de bovino,nao desossados, congelados";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02022090;;0;"Outras carnes de bovino,nao desossadas, congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02023000;;0;"Carnes de bovino,desossadas,congeladas";13.45;20.25;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02031100;;0;"Carcacas e meias-carcacas,de suino,frescas ou refriger.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02031200;;0;"Pernas,pas,etc.de suino,n/desossados,frescos ou refrig.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02031900;;0;"Outras carnes,de suino,frescas ou refrigeradas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02032100;;0;"Carcacas e meias-carcacas,de suino, congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02032200;;0;"Pernas,pas e pedacos,de suinos,n/desossados, congelados";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02032900;;0;"Outras carnes,de suino,congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02041000;;0;"Carcacas e meias-carcacas,de cordeiro, frescas ou refrig";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02042100;;0;"Carcacas e meias-carcacas,de ovino,frescas ou refriger.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02042200;;0;"Outras carnes,de ovino,nao desossadas, ]frescas ou refrig";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02042300;;0;"Carnes de ovino,desossadas,frescas ou refrigeradas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02043000;;0;"Carcacas e meias-carcacas,de cordeiro, congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02044100;;0;"Carcacas e meias-carcacas,de ovino, congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02044200;;0;"Outras carnes de ovino,nao desossadas, congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02044300;;0;"Carnes de ovino,desossadas,congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02045000;;0;"Carnes de caprino,frescas,refrigeradas ou congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02050000;;0;"Carnes de cavalo,asinino e muar,frescas, refrig.ou cong.";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02061000;;0;"Miudezas comestiveis,de bovino,frescas ou refrigeradas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02062100;;0;"Linguas de bovino,congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02062200;;0;"Figados de bovino,congelados";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02062910;;0;"Rabos de bovino,congelados";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02062990;;0;"Outras miudezas comestiveis,de bovino, congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02063000;;0;"Miudezas comestiveis,de suino,frescas ou refrigeradas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02064100;;0;"Figados de suino,congelados";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02064900;;0;"Outras miudezas,comestiveis,de suino, congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02068000;;0;"Miudezas comestiveis,de ovino,etc. frescas/refrigeradas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02069000;;0;"Miudezas comestiveis,de ovino,caprino, etc.congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02071100;;0;"Carnes de galos/galinhas,n/cort.pedacos, frescas/refrig.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02071210;;0;"Carnes e miudezas comestiveis carnes e miudezas comestiveis frescas refrigeradas ou congeladas das aves da posicao 01 05 com miudezas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02071220;;0;"Carnes e miudezas comestiveis carnes e miudezas comestiveis frescas refrigeradas ou congeladas das aves da posicao 01 05 Sem miudezas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02071300;;0;"Pedacos e miudezas,de galos/galinhas, frescos/refriger.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02071400;;0;"Pedacos e miudezas,comest.de galos/galinhas, congelados";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02072400;;0;"Carnes de peruas/perus,n/cort.pedacos, frescas/refriger.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02072500;;0;"Carnes de peruas/perus,n/cortadas em pedacos,congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02072600;;0;"Carnes de peruas/perus,em pedacos,miudez. frescos/refrig";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02072700;;0;"Carnes de peruas/perus,em pedacos e miudezas,congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02074100;;0;"Carnes de patos, n/cort.em pedacos, frescas/refriger.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02074200;;0;"Carnes de patos,gansos,etc.n/cort.em pedacos,congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02074300;;0;"Figados gordos,de patos (foie gras), frescos/refrig.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02074400;;0;"Outs.carnes/miudezas,de patos,frescas, refrig";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02074500;;0;"Outs.carnes,miudezas,de patos, congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02075100;;0;"Carnes de gansos n/cort.em pedacos, frescas/refriger.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02075200;;0;"Carnes de gansos n/cort.em pedacos,congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02075300;;0;"Figados gordos,de gansos (foie gras), frescos/ refrig.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02075400;;0;"Outs.carnes/miudezas,de gansos, frescas, refrig";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02075500;;0;"Outs.carnes,miudezas,de gansos, congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02076000;;0;"Carnes e miudezas comestiveis de galinhas dangola (pintadas), frescas/refriger/ congeladas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02081000;;0;"Carnes/miudezas,de coelhos/lebres,frescas/ refrig/congel";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02083000;;0;"Carnes e miudezas,de primatas,frescos/ refrig/congel";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02084000;;0;"Carnes e miudezas,de baleias,golfinhos e botos, peixes-boi e digongos, otarias e focas, leoes-marinhos e morsas ,frescos/ refrig/ congel";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02085000;;0;"Carnes e miudezas,de repteis(incluidas as serpentes e as tartarugas marinhas), frescos/ refrig/congel";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02086000;;0;"Carnes e miudezas,de camelos e outros camelideos, frescos/ refrig/congel";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
