codigo;ex;tabela;descricao;aliqNac;aliqImp;0.0.2
01012100;;0;--Reprodutores de raça pura;26.75;27.35;
01012900;;0;--Outros;26.75;28.45;
01013000;;0;-Asininos;26.75;29.50;
01019000;;0;-Outros;26.75;29.50;
01022110;;0;Prenhes ou com cria ao pé;14.80;15.40;
01022190;;0;Outros;14.80;15.40;
01022911;;0;Prenhes ou com cria ao pé;14.80;16.50;
01022919;;0;Outros;14.80;16.50;
01022990;;0;Outros;14.80;16.50;
01023110;;0;Prenhes ou com cria ao pé;14.80;15.40;
01023190;;0;Outros;14.80;15.40;
01023911;;0;Prenhes ou com cria ao pé;14.80;16.50;
01023919;;0;Outros;14.80;16.50;
01023990;;0;Outros;14.80;16.50;
01029000;;0;-Outros;14.80;15.40;
01031000;;0;-Reprodutores de raça pura;26.75;27.35;
01039100;;0;--De peso inferior a 50 kg;26.75;28.45;
01039200;;0;--De peso igual ou superior a 50 kg;26.75;28.45;
01041011;;0;Prenhes ou com cria ao pé;16.11;16.71;
01041019;;0;Outros;16.11;16.71;
01041090;;0;Outros;16.11;17.81;
01042010;;0;Reprodutores de raça pura;16.11;16.71;
01042090;;0;Outros;16.11;17.81;
01051110;;0;De linhas puras ou híbridas, para reprodução;16.11;16.71;
01051190;;0;Outros;16.11;17.81;
01051200;;0;--Peruas e perus;26.75;28.45;
01051300;;0;--Patos;26.75;28.45;
01051400;;0;--Gansos;26.75;28.45;
01051500;;0;--Galinhas-d'angola (pintadas);26.75;28.45;
01059400;;0;--Galos e galinhas;26.75;29.50;
01059900;;0;--Outros;26.75;29.50;
01061100;;0;--Primatas;26.75;29.50;
01061200;;0;"--Baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)";26.75;29.50;
01061300;;0;--Camelos e outros camelídeos (Camelidae);26.75;29.50;
01061400;;0;--Coelhos e lebres;25.45;28.20;
01061900;;0;--Outros;26.75;29.50;
01062000;;0;-Répteis (incluindo as serpentes e as tartarugas marinhas);26.75;29.50;
01063100;;0;--Aves de rapina;25.45;28.20;
01063200;;0;--Psitaciformes (incluindo os papagaios, os periquitos, as araras e as cacatuas);25.45;28.20;
01063310;;0;Avestruzes (Struthio camelus), para reprodução;25.45;26.05;
01063390;;0;Outros;25.45;28.20;
01063900;;0;--Outras;25.45;28.20;
01064100;;0;--Abelhas;26.75;29.50;
